,Band,Song,Player,Technique,Difficulty,Score
921,Spiten Dich,track 4.2,Track 2,['Distortion Guitar'],Intermediate,3/8
922,Self Kill,Self Killed,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Advanced,8/8
923,Hellbroken,External Depression,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,4/8
924,Zkam,riff 2,,['Distortion Guitar'],Intermediate,3/8
925,Withering Remains,defff,Utwór 1,['Distortion Guitar'],Advanced,6/8
926,Purple Haze,Menus Guitar Cover,Track 1,['Distortion Guitar'],Beginner,2/8
927,Primal Fear,Demons and Angels,,['Distortion Guitar 1'],Intermediate,3/8
928,Foul Pride,Trigger Happy 2,,['Distortion Guitar'],Beginner,2/8
929,66samus,Jewish Metal (no solo),Samus Paulicelli (Lead) ,['Distortion Guitar'],Intermediate,4/8
930,Black Crown,Riffi35_205,Track 2,['Distortion Guitar'],Intermediate,3/8
931,Purple Haze,AirStrike Cover,Track 3,['Distortion Guitar'],Beginner,2/8
932,Foul Pride,Trigger Happy,,['Distortion Guitar'],Beginner,2/8
933,Gojira,Space Time,Joe Duplantier (Clean),['Electric Guitar (jazz)'],Beginner,2/8
934,Open Fracture,Old Witch's Lullaby,,"['Distortion Guitar', 'Lead Guitar']",Advanced,6/8
935,Kalmah,Doubtful About It All,Antti Kokko,['Distortion Guitar'],Intermediate,4/8
936,Sigh,Corpsecry - Angelfall,Final Chorus Solo,['Distortion Guitar'],Intermediate,4/8
937,Hola Soy Dios,hola soy dios,Chris Poland,['Distortion Guitar'],Intermediate,5/8
938,Rom,bro that romper looks tite on dat ass tho,,"['Distortion Guitar 1', 'Lead Guitar']",Beginner,2/8
939,Foul Pride,Statistics 2,,['Distortion Guitar'],Intermediate,4/8
940,Foul Pride,Work til death 2,,['Distortion Guitar'],Intermediate,5/8
941,Violence Division,Meia Noite,Track 2,['Distortion Guitar 3'],Beginner,1/8
942,Fdslsfdg,lshidfgfsdo,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
943,Hellbroken,Discontinued Thought,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
944,Foul Pride,Public Execution,,['Distortion Guitar'],Beginner,1/8
945,Rage,The Edge of Darkness,,['Distortion Guitar 2'],Intermediate,4/8
946,Rage,Voice From the Vault,,['Acoustic Guitar (nylon)'],Beginner,1/8
947,Rage,Forever,,['Distortion Guitar 3'],Intermediate,3/8
948,Primal Fear,King for a Day,,['Distortion Guitar 4'],Advanced,7/8
949,Rage,Through Ages,,['Acoustic Guitar (steel)'],Intermediate,4/8
950,Rage,Blackened Karma,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
951,Plague,Thorned Is My Crown,,"['Distortion Guitar', 'Distorted Guitar I']",Intermediate,4/8
952,Death,Bite the Pain (Better Version),Harmonizer,['Distortion Guitar'],Advanced,6/8
953,Az,Proba76,Track 4,['Distortion Guitar'],Beginner,2/8
954,Gazette,Last Heaven,,"['Uruha', 'Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
955,Sylosis,I Sever,,"['Acoustic Guitar (steel)', 'Accoustic Guitar']",Beginner,2/8
956,Sarin Reaper,Underworld Chains,,['Distortion Guitar'],Intermediate,4/8
957,D8snx73h84ni48,jdiejoiwdoe939,,['Distortion Guitar'],Advanced,6/8
958,Sentenced,Dead Moon Rising,,"['Distortion Guitar', 'distorted guitar 1']",Beginner,2/8
959,Infestation Of Death,Mirror of Reality,Ro,['Distortion Guitar'],Intermediate,4/8
960,Purple Haze,riff86,Track 6,['Overdriven Guitar'],Beginner,2/8
961,Kronowski,The Pyre,2nd Down ,['Overdriven Guitar'],Intermediate,5/8
962,Marco Molteni,Winter Snow (Solo),Track 1,['Distortion Guitar'],Intermediate,4/8
963,Guillotine,Johnny Crawl,,"['Distortion Guitar 1', 'Jazz Guitar']",Intermediate,3/8
964,Deathblower,Pán snů,,['Distortion Guitar 2'],Intermediate,3/8
965,Cky,Disengage The Simulator,2,['Distortion Guitar'],Intermediate,3/8
966,Cky,Shock And Terror,Chad I Ginsburg,['Overdriven Guitar'],Beginner,2/8
967,Napierdalac,God is Death,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
968,Wiśniak,zombi,Chuck Schuldiner (Lead),['Distortion Guitar'],Intermediate,5/8
969,Death Of Shit,Disgusting blues,Track 1,['Distortion Guitar'],Beginner,2/8
970,N.L.,Stem,Lead,['Distortion Guitar'],Beginner,2/8
971,Foul Pride,Work til death,,['Distortion Guitar'],Intermediate,5/8
972,Foul Pride,statistics,,['Distortion Guitar'],Advanced,7/8
973,Foul Pride,you dont speak for us,,['Distortion Guitar'],Intermediate,3/8
974,Infestation Of Death,Operation: Murder,Jeremy,['Distortion Guitar'],Intermediate,5/8
975,Infestation Of Death,Frozen Hell,ro,['Distortion Guitar'],Intermediate,5/8
976,Pretty Little Fake,Poetry In Motion,GTR Rhythm ,['Distortion Guitar'],Beginner,2/8
977,Pretty Little Fake,Tripping Over Nothing,GTR Rhythm ,['Distortion Guitar'],Beginner,2/8
978,Pretty Little Fake,Something New,GTR Rhythm ,['Distortion Guitar'],Beginner,2/8
979,Pretty Little Fake,Living In Stockholm,GTR Lead,['Distortion Guitar'],Intermediate,3/8
980,Immolated,El Turno De Tu Muerte,,"['Distortion Guitar', 'Electric Guitar 2']",Intermediate,3/8
981,Biggaytest,biggay24,,['Distortion Guitar'],Intermediate,4/8
982,Nędza,Silver Shade,Track 2,['Overdriven Guitar'],Beginner,2/8
983,Nędza,Silver Shade,Track 1,['Distortion Guitar'],Beginner,2/8
984,Nędza,disco beat,Track 2,['Overdriven Guitar'],Beginner,2/8
985,Nędza,disco beat,Track 1,['Distortion Guitar'],Beginner,2/8
986,Mastodon,Black Tongue,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
987,Wiśniak,A imię jego... Scyllus!,Gitara,['Distortion Guitar'],Intermediate,3/8
988,Kirpich,Saturnism,Clean 2,['Acoustic Guitar (steel)'],Intermediate,3/8
989,Plague,Reflections Through an Unlit Mirror,,"['Distortion Guitar', 'Distorted Guitar II']",Intermediate,3/8
990,Mac Demarco,Here Comes the Cowboy,,['Acoustic Guitar (steel)'],Beginner,2/8
991,Kirpich,Very Funny,Lead 1,['Distortion Guitar'],Intermediate,3/8
992,Scremter,Chill,,"['Electric Guitar (jazz)', 'Clean Guitar']",Beginner,2/8
993,Purple Haze,riff86.3,Track 2,['Acoustic Guitar (nylon)'],Beginner,2/8
994,Purple Haze,riff86/2,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
995,Pantera,Revolution Is My Name,Dimebag Darrell (Harmony),['Distortion Guitar'],Intermediate,4/8
996,Purple Haze,riff86,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
997,Purple Haze,riff87,Track 2,['Acoustic Guitar (nylon)'],Beginner,2/8
998,End The Sorrow,Meaning Of Everything,,"['Distortion Guitar', 'Emil Guitar']",Intermediate,4/8
999,Metallica,Sad But True,Extra 2,['Distortion Guitar'],Intermediate,4/8
1000,Scremter,Dark City 3,,['Distortion Guitar 2'],Beginner,2/8
1001,Drunad,SUDNO,,['Distortion Guitar 3'],Beginner,2/8
1002,Drunad,SUDNO(Molchat Doma cover),,['Distortion Guitar 1'],Intermediate,5/8
1003,Drunad,Nolosop,,['Distortion Guitar 1'],Advanced,6/8
1004,Drunad,Nolosop,Distortion Guitar 3,[],Advanced,7/8
1005,Sentenced,The Suicider,Kitara 2,['Distortion Guitar'],Beginner,2/8
1006,Order Of Sin( Best Band In Universe),cośś,Utwór 2,['Distortion Guitar'],Beginner,2/8
1007,Vermist,Tirania, Gian,['Distortion Guitar'],Intermediate,4/8
1008,Mastodon,Quintessence,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
1009,Mastodon,The Czar,Pista 3,['Distortion Guitar'],Intermediate,5/8
1010,Devastated By Hate,1014,Key 2,['Distortion Guitar 1'],Intermediate,4/8
1011,Wiśniak,nieboraczek,Utwór 1,['Distortion Guitar'],Beginner,1/8
1012,All Hallow's Evil,"Broken, but Learning",Gtr II,['Distortion Guitar'],Beginner,2/8
1013,All Hallow's Evil,Veneer,Gtr II,['Distortion Guitar'],Beginner,2/8
1014,Fu Manchu,Eatin' Dust,,"['Acoustic Guitar (nylon)', 'Bass..']",Beginner,2/8
1015,Death From Above 1979,Romantic Rights,Track 1,['Overdriven Guitar'],Intermediate,3/8
1016,Montreal,Erzhl Mir Mehr,Spur 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
1017,Converge,Cutter,,"['Distortion Guitar', 'Bass']",Beginner,2/8
1018,Mason Pearmain,Bass Solo #1,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
1019,Death From Above 1979,Dead Womb,Jesse F.Keeler,['Distortion Guitar'],Beginner,2/8
1020,Death From Above 1979,Too Much Love,Jesse F. Keeler,['Distortion Guitar'],Intermediate,3/8
1021,Death From Above 1979,My Love Is Shared,Jesse F. Keeler,['Distortion Guitar'],Intermediate,3/8
1022,Manowar,Warriors Of The World United,,"['Distortion Guitar', 'Bass Overdub']",Beginner,1/8
1023,Decaying Frost,Belial,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
1024,Napalm Death,Climate Controllers,,"['Overdriven Guitar', 'Electric Bass']",Intermediate,3/8
1025,Symphony X,Domination,Michael Lepond,"['Fuzz Effect', 'Distortion Guitar']",Intermediate,4/8
1026,Death From Above 1979,If We Don't Make It Well Fake It,BASS,['Distortion Guitar'],Beginner,1/8
1027,Death From Above 1979,Crystal Ball,Jesse F. Keeler,['Distortion Guitar'],Beginner,1/8
1028,Death From Above 1979,Right On Frankenstein,Jesse F. Keeler,['Distortion Guitar'],Beginner,2/8
1029,Death From Above 1979,Government Trash,Jesse F. Keeler,['Distortion Guitar'],Intermediate,3/8
1030,Death From Above 1979,Always On,Jesse F. Keeler,['Distortion Guitar'],Intermediate,4/8
1031,Death From Above 1979,Nothin Left,,"['Overdriven Guitar', 'Bass Overdubs']",Intermediate,3/8
1032,Death From Above 1979,Gemini,,"['Overdriven Guitar', 'Bass Overdubs']",Intermediate,3/8
1033,Death From Above 1979,White Is Red,Jesse F. Keeler,['Overdriven Guitar'],Intermediate,3/8
1034,Death From Above 1979,Virgins,,"['Overdriven Guitar', 'Bass Overdubs']",Beginner,2/8
1035,Death From Above 1979,The Physical World,Jesse F. Keeler,['Distortion Guitar'],Intermediate,3/8
1036,Fu Manchu,Boogie Van,,"['Distortion Guitar', 'Bass']",Beginner,1/8
1037,Monstrosity,Vicious Mental Thirst,,['Distortion Guitar 8'],Intermediate,3/8
1038,Poison The Well,Loved Ones Excerpts From Speeches Of How Great You We're And Will Never Be Agai,w/dist,['Overdriven Guitar'],Intermediate,3/8
1039,Poison The Well,The Realist,w/dist,['Distortion Guitar 6'],Intermediate,3/8
1040,Impaled Nazarene,Goat Sodomy,Raita 3,['Distortion Guitar'],Intermediate,4/8
1041,Vader,Carnal,,"['Acoustic Guitar (nylon)', 'Bass']",Intermediate,3/8
1042,Wounds,Panzer Attack,Joakim Soldehed,['Distortion Guitar'],Intermediate,4/8
1043,Belphegor,The Goatchrist,,"['Acoustic Guitar (nylon)', 'Bass']",Beginner,1/8
1044,Crucifire Moon,Jaruth,,"['Electric Guitar (jazz)', 'Kamil_bass']",Intermediate,4/8
1045,The Bled,Spitshine Sonata,,"['Distortion Guitar', 'Bass']",Beginner,1/8
1046,My,Tab 2,Jay James,['Electric Guitar (jazz)'],Intermediate,3/8
1047,Ivariis,L0d,Anastas,['Overdriven Guitar'],Intermediate,3/8
1048,Death From Above 1979,Holy Books,Jesse F. Keeler ,['Distortion Guitar'],Beginner,1/8
1049,R8932jrj823,r328j989r32,,"['Acoustic Guitar (steel)', '(Bryce) Bass']",Intermediate,3/8
1050,Mastodondon,Roots Remain,,"['Acoustic Guitar (steel)', 'Bass']",Beginner,2/8
1051,Deathspell Omega,Apokatastasis Pantôn,,"['Distortion Guitar', 'Bass']",Beginner,1/8
1052,Gutspawn,Storm of Iron,Track 2,['Distortion Guitar'],Intermediate,3/8
1053,Gutspawn,Hell Pit Abomination,Track 2,['Distortion Guitar'],Intermediate,3/8
1054,Gutspawn,Untitled,Track 3,['Distortion Guitar'],Intermediate,3/8
1055,Gutspawn,In The Temple of the Horned Rat,Track 1,['Distortion Guitar'],Intermediate,3/8
1056,Southking,Hellhound,,"['Overdriven Guitar', 'Electric Bass']",Intermediate,3/8
1057,Speedhammer,un,Pista 3,['Distortion Guitar'],Intermediate,4/8
1058,Their They're There,End an End,,"['Overdriven Guitar', 'Electric Bass']",Intermediate,3/8
1059,Sacrilegious Impalement,Aletheia,,"['Distortion Guitar', 'Electric Bass']",Beginner,1/8
1060,A Band,song that all instruments have a solo,,"['Distortion Guitar', 'Lead bass']",Advanced,8/8
1061,Metallica,Orion Standard D,,"['Distortion Guitar', 'Bass Distortion Effect II']",Intermediate,3/8
1062,Metallica,Seek and Destroy Standard D,Cliff Burton (Distortion),['Distortion Guitar'],Beginner,2/8
1063,No Artist,seek revised,Cliff Burton (Distortion),['Distortion Guitar'],Intermediate,3/8
1064,Metallica,Master of Puppets Medley by Artem Golubev,Äîðîæêà 7,['Distortion Guitar 1'],Intermediate,4/8
1065,Metallica,To Live Is To Die bass arrangement,Track 10,['Distortion Guitar 1'],Beginner,2/8
1066,Nirvana,Smells Like Teen Spirit bass arrangement,Track 7,['Distortion Guitar 1'],Beginner,2/8
1067,Cliff Burton,Anesthesia Pulling teeth artem,,"['Distortion Guitar', 'Cliff (Distortion Bass)']",Intermediate,3/8
1068,Metallica,Orion bass arrangement by Artem,,"['Distortion Guitar', 'bass rhytm 1']",Beginner,2/8
1069,Burzum,Jesu Dod Bass arrangement,Track 1,['Distortion Guitar'],Intermediate,4/8
1070,Dirt Merchant,Money $hot,,"['Distortion Guitar', 'Bass']",Intermediate,3/8
1071,Sleep,Dragonaut in Drop D,Al Cisneros,['Overdriven Guitar'],Intermediate,3/8
1072,Sierosław Dopiewo Na Próbe,UNHAPPYNESS V2,,"['Distortion Guitar', 'Electric Bass Rafał']",Intermediate,3/8
1073,Burzum,Dunkelheit in bass arrangement by Artem Golubev,Track 2,['Distortion Guitar'],Beginner,2/8
1074,Inxies,Ban1,fx bajo distorsion,['Distortion Guitar'],Intermediate,3/8
1075,Fa35rasf,fa35rasf,Track 3,['Distortion Guitar'],Intermediate,4/8
1076,Mayhem,Freezing Moon Bass arrangement,track 2,['Distortion Guitar'],Beginner,2/8
1077,Inquisition,Desolate Funeral Chant (Bass Added),,"['Distortion Guitar', 'Bass']",Intermediate,3/8
1078,Gummy,Joining Pieces,Track 3,['Distortion Guitar'],Intermediate,3/8
1079,Aephanemer,Rage And Forgiveness,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
1080,Artsiom Holubeu,Raining Blood but bass (Slayer Cover),Track 7,['Distortion Guitar 1'],Intermediate,3/8
1081,Artsiom Holubeu,Rust In Peace Bass Medley (MEGADETH cover),Track 5,['Distortion Guitar 2'],Intermediate,3/8
1082,Jardins Do Jack,Plugin BB,,"['Distortion Guitar', 'Chris Wolstenholme (Guitar)']",Intermediate,3/8
1083,Repentless Bass,Slayer,Track 6,['Distortion Guitar 1'],Intermediate,4/8
1084,Kings Of Leon,On Call,,"['Electric Guitar (muted)', 'Bass Echo']",Intermediate,3/8
1085,Slaver,Do you wanna heavy now,Track 3,['Overdriven Guitar'],Intermediate,3/8
1086,Slaver,Tornado,,"['Overdriven Guitar', 'Bass Drive']",Intermediate,3/8
1087,Slaver,Maskdance,,"['Distortion Guitar', 'Bass Effects']",Intermediate,3/8
1088,Chopin,Funeral March (Metal Bass Arr.),Track 5,['Distortion Guitar'],Intermediate,3/8
1089,Thy Serpent,Wounds of Death,,"['Electric Guitar (clean)', 'Bass Guitar']",Intermediate,3/8
1090,The Age,Dissonance X,Baza,['Acoustic Guitar (steel)'],Advanced,8/8
1091,Dirty Blood,He Did Not Die Upon The Cross,Pista 4,['Acoustic Guitar (steel)'],Advanced,8/8
1092,Waldgeflüster,Im Ebersberger Forst,,"['Acoustic Guitar (steel)', 'Bass']",Intermediate,3/8
1093,Sleep,Dragonaut - D standard,Al Cisneros (Effect),['Overdriven Guitar'],Intermediate,3/8
1094,Mutilo,Instrumental (guitarra),Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
1095,Sarin Reaper,N.G.D.M., Bass,['Distortion Guitar'],Intermediate,3/8
1096,Immolated,El Turno De Tu Muerte,Electric Bass,['Distortion Guitar'],Intermediate,3/8
1097,Sarin Reaper,616,BASS,['Distortion Guitar'],Beginner,1/8
1098,Sarin Reaper,Infant Burial,BASS,['Distortion Guitar'],Intermediate,3/8
1099,Sarin Reaper,Underworld Chains,Bass,['Distortion Guitar'],Intermediate,3/8
1100,Sarin Reaper,Sarin Reaper,Track 1,['Distortion Guitar'],Beginner,2/8
1101,Sarin Reaper,Panzramik Ritez,Track 1,['Distortion Guitar'],Beginner,2/8
1102,Breakdown Of Sanity,Crumble,,"['Distortion Guitar', 'Guitarra 1']",Intermediate,3/8
1103,Competition 5,Your Majesty,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
1104,Jason Deadwyler,Death By Millions,Track 1,['Distortion Guitar'],Intermediate,3/8
1105,Deadsy,Fox On The Run,Elijah,"['guitar', 'Overdriven Guitar']",Beginner,1/8
1106,Djeena Circus,Adramelec,,"['Acoustic Guitar (steel)', 'Add Guitar']",Intermediate,3/8
1107,MSB Competition Mar-Apr 2005,Insipid 2005,,"['A Tunning', 'Distortion Guitar', 'Add. Guitar']",Intermediate,3/8
1108,Suicide Silence,Lifted,Track 5,['Distortion Guitar'],Beginner,2/8
1109,D'espairsRay,Angeldust,Karyu,"['Guitar 1', 'Distortion Guitar']",Intermediate,3/8
1110,D'espairsRay,Kaleidoscope,Karyu,"['Guitar 2', 'Distortion Guitar']",Intermediate,3/8
1111,D'espairsRay,Mirror,Karyu,"['Guitar 3', 'Distortion Guitar']",Intermediate,3/8
1112,Evans Blue,The Pursuit,Track 1,['Distortion Guitar'],Beginner,2/8
1113,Jesu,Silver,,"['Layer', 'Overdriven Guitar 1']",Beginner,1/8
1114,Hava Nagila,Rootwater,Sebastian,['Distortion Guitar'],Beginner,1/8
1115,Tom Chiron,Whered You Get That Shirt,Track 1,['Distortion Guitar'],Intermediate,3/8
1116,Remembering Vengeance,Destruction,Track 2,['Distortion Guitar'],Advanced,8/8
1117,Ozzy Osbourne,Black Rain,Rhy. Gtr. 1,['Distortion Guitar'],Beginner,2/8
1118,Suicide Silence,Girl Of Glass,Spur 1,['Distortion Guitar'],Intermediate,3/8
1119,Suicide Silence,Distorted Thought Of Addiction,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,4/8
1120,Suicide Silence,Eyes Sewn Shut,GTR2,['Distortion Guitar'],Intermediate,4/8
1121,Ofensywnyrondel,123123123,Utwór 1,['Distortion Guitar'],Intermediate,3/8
1122,Slipknot,Yen,Mick Thomson,['Distortion Guitar'],Beginner,2/8
1123,Chelsea Grin,Lifeless,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
1124,Chelsea Grin,Judgement,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
1125,We Butter The Bread With Butter,Superfohn Bananendate,,"['Distortion Guitar', 'Extra Guitar']",Intermediate,3/8
1126,D'espairsRay,Lizard,Track 2,['Distortion Guitar'],Intermediate,3/8
1127,Garbage Guts,Leprotic Foetal Frenzy,,['Distortion Guitar'],Intermediate,3/8
1128,Jesu,Brighteyes,,['Distortion Guitar 1'],Beginner,2/8
1129,Tremble Oh Earth,Eternal,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
1130,The Bleeding Effect,You're All The Same,Ethan,['Distortion Guitar'],Intermediate,4/8
1131,Bloodpurge,Chainsawdomy,,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
1132,Combustion,The Beginning,Fabian,['Distortion Guitar'],Intermediate,3/8
1133,Bloodpurge,Ridgway,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
1134,Zctt,Outside Of You,Raita 1,['Distortion Guitar'],Intermediate,3/8
1135,Duath,Nektar,,"['Distortion Guitar', 'Rhytm Guitar']",Intermediate,3/8
1136,Duath,Eben,,"['Distortion Guitar', 'Rhytm Guitar']",Intermediate,3/8
1137,Misc. Unsigned Bands,Torn From The Sky -,Track 2,['Distortion Guitar'],Intermediate,4/8
1138,Red,Forever,,"['Distortion Guitar', 'Guitar Fill-Ins']",Intermediate,3/8
1139,We Butter The Bread With Butter,Der Tag An Dem Die Welt Unterging,Git 1,['Distortion Guitar'],Intermediate,4/8
1140,Suicide Silence,Soak In Tears,Gtr 1,['Distortion Guitar'],Beginner,1/8
1141,Suicide Silence,Your Creations,Spår 2,['Distortion Guitar'],Intermediate,5/8
1142,Killing The Messenger,Melodeath,Rhythm,['Distortion Guitar'],Intermediate,4/8
1143,The Southern Oracle,This Pit Got Deeper,,"['Distortion Guitar', 'guitar 2']",Intermediate,3/8
1144,The Southern Oracle,Rest In Pieces,,"['Distortion Guitar', 'guitar 1']",Intermediate,5/8
1145,The Southern Oracle,Traitor Holocaust,,"['Distortion Guitar', 'guitar 3']",Intermediate,5/8
1146,The Southern Oracle,Handem In The Front Yard,,"['Distortion Guitar', 'guitar 1']",Intermediate,3/8
1147,Schuylar Pellizzer,Compilation 1,,"['Distortion Guitar', 'Electric Guitar 1']",Intermediate,4/8
1148,Xutos & Pontapés,O Homem Do Leme,,"['Distortion Guitar', 'Guitar 2 Heavy Distortion']",Beginner,1/8
1149,Lunar Goddess Fertility,Lunar Goddess' Fertility,Track 5,['Distortion Guitar'],Intermediate,5/8
1150,Habiru,Usurpers Of The Golden Throne,Pista 1,['Distortion Guitar'],Intermediate,4/8
1151,Habiru,The Ancient Keepers (Rebirth Of The Carrier Buried Underneath),Pista 2,['Distortion Guitar'],Intermediate,4/8
1152,Habiru,Richest Kingdom Of The Tigris,Pista 3,['Distortion Guitar'],Intermediate,4/8
1153,Habiru,The Beginning Of Nothing And Everything.,Pista 2,['Distortion Guitar'],Intermediate,3/8
1154,Habiru,The Five Towers Of Meru,Pista 4,['Distortion Guitar'],Intermediate,5/8
1155,Jebi,Carnifex Hearthless Intro,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
1156,Pd,14,Я,['Overdriven Guitar'],Intermediate,3/8
1157,Pd,11,Track 2,['Distortion Guitar'],Intermediate,3/8
1158,Pd,13,Track 1,['Overdriven Guitar'],Intermediate,3/8
1159,Pd,12,Track 4,['Distortion Guitar'],Intermediate,3/8
1160,Rage Against The Machine,No Shelter,Guitar Harmonizer,['Distortion Guitar'],Beginner,1/8
1161,Chelsea Grin,Last Breath,Raita 1,['Distortion Guitar'],Intermediate,3/8
1162,Ease Of Disgust,Kaos,12,['Distortion Guitar'],Intermediate,4/8
1163,Ill Niño,"Killing You, Killing Me",Diego Verduzco,['Overdriven Guitar'],Beginner,2/8
1164,Nile,Sacrifice Unto Sebek,Dallas Toller-Wade [Led's clone,['Distortion Guitar'],Advanced,6/8
